Row,Column,Percentage,Category
1,1,1.00%,Personal
1,2,2.00%,Personal
1,3,3.00%,Personal
1,4,4.00%,Personal
1,5,5.00%,Personal
1,6,6.00%,Personal
1,7,7.00%,Personal
1,8,8.00%,Personal
1,9,9.00%,Personal
1,10,10.00%,Personal
2,1,11.00%,Personal
2,2,12.00%,Personal
2,3,13.00%,Personal
2,4,14.00%,Personal
2,5,15.00%,Personal
2,6,16.00%,Personal
2,7,17.00%,Personal
2,8,18.00%,Personal
2,9,19.00%,Personal
2,10,20.00%,Personal
3,1,21.00%,Personal
3,2,22.00%,Personal
3,3,23.00%,Personal
3,4,24.00%,Personal
3,5,25.00%,Personal
3,6,26.00%,Personal
3,7,27.00%,Personal
3,8,28.00%,Personal
3,9,29.00%,Personal
3,10,30.00%,Personal
4,1,31.00%,Personal
4,2,32.00%,Personal
4,3,33.00%,Personal
4,4,34.00%,Personal
4,5,35.00%,Personal
4,6,36.00%,Personal
4,7,37.00%,Personal
4,8,38.00%,Personal
4,9,39.00%,Personal
4,10,40.00%,Personal
5,1,41.00%,Personal
5,2,42.00%,Personal
5,3,43.00%,Personal
5,4,44.00%,Personal
5,5,45.00%,Personal
5,6,46.00%,Personal
5,7,47.00%,Personal
5,8,48.00%,Personal
5,9,49.00%,Personal
5,10,50.00%,Personal
6,1,51.00%,Personal
6,2,52.00%,Personal
6,3,53.00%,Personal
6,4,54.00%,Personal
6,5,55.00%,Personal
6,6,56.00%,Personal
6,7,57.00%,Personal
6,8,58.00%,Personal
6,9,59.00%,Personal
6,10,60.00%,Personal
7,1,61.00%,Personal
7,2,62.00%,Personal
7,3,63.00%,Personal
7,4,64.00%,Personal
7,5,65.00%,Personal
7,6,66.00%,Aerial Application
7,7,67.00%,Aerial Application
7,8,68.00%,Aerial Application
7,9,69.00%,Aerial Application
7,10,70.00%,Aerial Application
8,1,71.00%,Business
8,2,72.00%,Business
8,3,73.00%,Business
8,4,74.00%,Instructional
8,5,75.00%,Instructional
8,6,76.00%,Instructional
8,7,77.00%,Instructional
8,8,78.00%,Instructional
8,9,79.00%,Instructional
8,10,80.00%,Instructional
9,1,81.00%,Instructional
9,2,82.00%,Instructional
9,3,83.00%,Instructional
9,4,84.00%,Instructional
9,5,85.00%,Instructional
9,6,86.00%,Instructional
9,7,87.00%,Instructional
9,8,88.00%,Others
9,9,89.00%,Others
9,10,90.00%,Others
10,1,91.00%,Others
10,2,92.00%,Others
10,3,93.00%,Others
10,4,94.00%,Others
10,5,95.00%,Others
10,6,96.00%,Others
10,7,97.00%,Others
10,8,98.00%,Others
10,9,99.00%,Others
10,10,100.00%,Others
